Lease Number,Current Expiration Date,Lease Initial Effective Date,Location Code,Lease ANSI Rentable Sqft,Lease Usable Sqft,Lse Structured Parking Spaces,Lse Surface Parking Spaces,Lease Annual Rent Amount,Lease Responsibility,Lessor Name,Lessor In-Care-Of,Lessor Address 1,Lessor Address 2,Lessor Country,Lessor State,Lessor Zip Code,Lessor County,Lessor City              
LCT04467,29-Feb-2012,01-Mar-2007,CT3301,7469.000000,6495.000000,0,13,184012.230000,LESSOR,"CRYSTAL SHERRISON,LLC","","330 MAIN ST","","US",CT,06106-1860,"HARTFORD","HARTFORD"
LCT04318,30-Jun-2013,01-Jul-2003,CT3316,34889.000000,34889.000000,0,159,662788.040000,LESSOR,"BAKER PROPERTIES LTD PARTNERSHIP","DOUG GRIMMER,PROPERTY MANAGER","ONE WEST RED OAK LANE","","US",NY,10604-3615,"WESTCHESTER","WHITE PLAINS"
LCT03590,31-May-2011,29-Jul-1989,CT3319,5773.000000,5020.000000,8,0,160456.470000,LESSOR,"LANDMARK SQUARE 1-6 LLC","RECKSON,A DVSN OF SL GREEN REALTY","360 HAMILTON AVENUE","","US",NY,10601-1811,"WESTCHESTER","WHITE PLAINS"
LCT04642,08-Apr-2014,09-Apr-2009,CT3322,5500.000000,5045.000000,0,1,113485.600000,LESSOR,"ROBERT BALABAN REALTY LLC","","425 MAIN ST.","","US",CT,06457-0000,"MIDDLESEX","MIDDLETOWN"
LCT04571,28-Feb-2018,01-Mar-2008,CT3323,1491.000000,1268.000000,0,0,34566.920000,LESSOR,"COMMERCE CENTER ONE LLC","KONOVER COMMERCIAL CORPORATION","333 E RIVER DR STE 102","","US",CT,06108-4206,"HARTFORD","EAST HARTFORD"
LCT03668,31-Mar-2011,02-Apr-1990,CT3323,17424.000000,15150.000000,0,60,399062.240000,LESSOR,"COMMERCE CENTER ONE LLC","C/O KONOVER COMMERCIAL CORPORATION","342 NORTH MAIN STREET","","US",CT,06117-2507,"HARTFORD","WEST HARTFORD"
LCT03931,11-Jun-2011,12-Jun-1995,CT3326,4334.000000,3293.000000,5,0,107159.630000,LESSOR,"YALE UNIVERSITY","C/O UNIVERSITY PROPERTIES","433 TEMPLE ST","","US",CT,06511-0000,"NEW HAVEN","NEW HAVEN"
LCT04197,22-Dec-2012,23-Dec-2002,CT3331,9337.000000,8014.000000,2,6,289707.940000,LESSOR,"157 CHURCH,LLC","C/O CHASE ENTERPRISES","GOODWIN SQUARE","225 ASYLUM STREET,29TH FLOOR","US",CT,06103-1538,"HARTFORD","HARTFORD"
LCT04198,29-Sep-2014,01-Oct-2002,CT3331,12963.000000,11058.000000,0,0,417017.060000,LESSOR,"157 CHURCH,LLC","C/O CHASE ENTERPRISES","GOODWIN SQUARE","225 ASYLUM STREET,29TH FLOOR","US",CT,64141-1538,"HARTFORD","HARTFORD"
LCT03906,14-Sep-2013,07-Apr-1995,CT3331,30499.000000,26415.000000,17,0,990796.280000,LESSOR,"157 CHURCH,LLC","C/O CHASE ENTERPRISES","GOODWIN SQUARE","225 ASYLUM STREET 29TH FLOOR","US",CT,64141-1538,"HARTFORD","HARTFORD"
LCT04196,19-Nov-2012,20-Nov-2002,CT3331,45370.000000,39018.000000,17,0,1460454.860000,LESSOR,"157 CHURCH,LLC","C/O CHASE ENTERPRISES","225 ASYLUM STREET,29TH FLOOR","","US",CT,06103-1538,"HARTFORD","HARTFORD"
LCT03758,30-Nov-2010,21-Feb-1992,CT3335,2058.000000,1790.000000,0,4,40131.000000,LESSOR,"WALLINGFORD PARTNERS","C/O MIDWOOD MANAGEMENT","430 PARK AVENUE STE 505","","US",NY,10022-0000,"NEW YORK","NEW YORK-MANHATTAN"
LCT04276,15-Nov-2012,16-Nov-2002,CT3339,9465.000000,8230.000000,15,0,191909.600000,LESSOR,"ENGLEWOOD OF CONNECTICUT,INC.","","30 SUNNY RIDGE ROAD","","US",CT,06612-1253,"FAIRFIELD","EASTON"
LCT04417,30-Nov-2010,01-Oct-2005,CT3341,4138.000000,3477.000000,6,0,113258.570000,LESSOR,"CENTURY ONE LIMITED PARTNERSHIP","KONOVER OFFICE & COMMERCIAL CORP","342 NORTH MAIN STREET SUITE 200","","US",CT,06117-0000,"HARTFORD","WEST HARTFORD"
LCT04455,11-Feb-2012,12-Feb-2007,CT3341,4370.000000,3672.000000,4,0,159048.940000,LESSOR,"CENTURY ONE LP","KONOVER OFFICE & COMMERCIAL CORP.","342 NORTH MAIN STREET","SUITE 200","US",CT,06117-0000,"HARTFORD","WEST HARTFORD"
LCT04513,31-Aug-2013,01-Sep-2008,CT3341,5385.000000,4678.000000,12,0,209397.130000,LESSOR,"CENTURY ONE LIMITED PARTNERSHIP","KONOVER COMMERCIAL CORPORATION","342 NORTH MAIN STREET","","US",CT,06117-2507,"HARTFORD","WEST HARTFORD"
LCT04427,30-Sep-2017,01-Oct-2007,CT3341,5049.000000,4243.000000,8,0,211930.390000,LESSOR,"CENTURY ONE LP,A CONNECTICUT LP","C/O KONOVER OFFICE & COMMERCIAL COR","342 NORTH MAIN STREET","SUITE 200","US",CT,06117-2507,"HARTFORD","WEST HARTFORD"
LCT04327,30-Nov-2015,01-Dec-2005,CT3351,2088.000000,1800.000000,1,1,52305.470000,LESSOR,"GRUNBERG 628 HEBRON,LLC","INDIA LIDDELL","928 BROADWAY RM 1105","","US",NY,10010-9999,"NEW YORK","NEW YORK-MANHATTAN"
LCT04328,31-Aug-2016,01-Sep-2006,CT3351,6032.000000,5200.000000,1,1,156088.110000,LESSOR,"GRUNBERG 628 HEBRON LLC","GRUNBERG REALTY","928 BROADWAY","SUITE 1105","US",NY,10010-0000,"NEW YORK","NEW YORK-MANHATTAN"
LCT04336,30-Sep-2014,01-Oct-2004,CT3354,1495.000000,1300.000000,0,8,32534.800000,LESSOR,"TC MERIDEN,LLC","TRAMMELL CROW COMPANY","2001 ROSS AVE","SUITE 3400","US",TX,75201-2966,"DALLAS","DALLAS"
LCT04396,30-Nov-2015,01-Dec-2005,CT3354,11925.000000,10427.000000,0,31,232376.590000,LESSOR,"TC MERIDEN,LLC","","2001 ROSS AVE STE 3400","","US",TX,75201-2966,"DALLAS","DALLAS"
LCT04357,30-Nov-2010,15-Jan-2005,CT3358,4370.000000,3800.000000,0,0,104880.000000,LESSOR,"TWO SHAWS COVE LLC","LEON SILVERMAN","SILVERMAN REALTY TRUST,INC","237 MAMARONECK AVENUE","US",NY,10605-0000,"WESTCHESTER","WHITE PLAINS"
LCT04550,10-Mar-2020,11-Mar-2010,CT3358,7525.000000,6306.000000,0,28,258578.270000,LESSOR,"TWO SHAW'S COVE,LLC","C/O SILVERMAN REALTY GROUP,INC.","237 MAMARONECK AVENUE","","US",NY,10605-1319,"WESTCHESTER","WHITE PLAINS"
LCT04598,30-Sep-2020,01-Oct-2010,CT3360,9930.000000,8490.000000,19,0,267414.900000,LESSOR,"BRIDGEPORT LAFAYETTE 2005 LLC","","15 MAPLE AVENUE","","US",NJ,07960-4105,"MORRIS","MORRISTOWN"
LCT04199,14-Aug-2012,15-Aug-2002,CT3360,13034.000000,10953.000000,35,0,402197.770000,LESSOR,"BRIDGEPORT LAFAYETTE 2005 LLC","","15 MAPLE AVENUE","","US",NJ,07960-5214,"MORRIS","MORRISTOWN"
LCT03972,21-Apr-2013,22-Apr-1996,CT3362,2730.000000,1950.000000,10,0,71519.410000,LESSOR,"MIDFIELD CORPORATION","","213 COURT STREET.","","US",CT,06457-0000,"MIDDLESEX","MIDDLETOWN"
LCT04204,28-Feb-2012,01-Mar-2002,CT3363,3070.000000,2670.000000,0,19,82177.040000,LESSOR,"CHELSEA GROTON SAVINGS BANK","","904 POQUONNOCK ROAD","","US",CT,06340-0000,"NEW LONDON","GROTON"
LCT03982,30-Nov-2010,24-Jul-1997,CT3369,29067.000000,26090.000000,7,0,675553.420000,LESSOR,"20 CHURCH STREET LLC","HAMPSHIRE PARTNERS FUND VI LP","C/O HAMPSHIRE PARTNERS LLC","15 MAPLE AVENUE","US",NJ,07960-9999,"MORRIS","MORRISTOWN"
LCT04504,14-Dec-2011,15-Dec-2006,CT3372,3800.000000,3400.000000,0,11,83089.960000,LESSOR,"JOHN BROADCANNON,LLC","","1087 BROAD STREET","SUITE 401","US",CT,06604-4284,"FAIRFIELD","BRIDGEPORT"
LCT04047,24-Sep-2011,22-Mar-1998,CT3373,11215.000000,11215.000000,0,56,166056.220000,LESSOR,"VINEYARD PROPERTIES,LLC","C/O BKM","300 EAST RIVER DRIVE","","US",CT,06108-0000,"HARTFORD","EAST HARTFORD"
LCT04065,04-Jan-2020,05-Jan-2000,CT3375,89613.000000,78826.000000,70,150,2140679.240000,LESSOR,"FUSCO ARENA ASSOCIATES","C/O FUSCO CORPORATION","SUITE 14","555 LONG WHARF DRIVE","US",CT,06511-5953,"NEW HAVEN","NEW HAVEN"
LCT03932,14-Sep-2011,15-Sep-1995,CT3376,7197.000000,6487.000000,0,0,136548.090000,LESSOR,"SALAME PLAZA LLC","","131 WEST STREET","","US",CT,06813-9999,"FAIRFIELD","DANBURY"
LCT04151,31-Oct-2011,01-Nov-2000,CT3386,9002.000000,7760.000000,0,7,191045.750000,LESSOR,"SCOVILL COMMON PARTNERS,LLC","","47 MAIN STREET","PO BOX 189","US",NH,03256-9998,"BELKNAP","NEW HAMPTON"
LCT04157,31-Jan-2011,01-Feb-2001,CT3387,6806.000000,6370.000000,0,12,135198.290000,LESSOR,"MERIDEN PROPERTY LLC","FRANK E. BURGHARDT","35 FARWELL LANE","","US",CT,06831-0000,"FAIRFIELD","GREENWICH"
LCT04164,30-Jun-2011,01-Jul-2000,CT3389,12686.000000,12686.000000,0,52,329571.970000,LESSOR,"MERROW PROPERTIES,LLC.","","51 LAWLOR ROAD","","US",CT,06084-0000,"TOLLAND","TOLLAND"
LCT04181,09-Sep-2011,13-Aug-2001,CT3391,12400.000000,10697.000000,4,96,471087.340000,LESSOR,"SONO EQUITIES,LLC","1122 ASSOCIATES,LLC","C/O PRIME LOCATIONS,INC.","733 YONKERS AVENUE","US",NY,10704-0000,"WESTCHESTER","YONKERS"
LCT04205,14-Feb-2012,15-Feb-2002,CT3393,5977.000000,5198.000000,0,8,161692.460000,LESSOR,"HARTFORD SQUARE NORTH","C/O CP MANAGEMENT,INC","10 COLUMBUS BLVD","","US",CT,06106-0000,"HARTFORD","HARTFORD"
LCT04410,14-Jul-2015,15-Jul-2005,CT3395,13600.000000,11825.000000,0,5,344876.780000,LESSOR,"KCR-BRADLEY ASSOCIATES,LLC","CLOUD & ROBINSON PROP MGMT LLC","4 CREAMERY BROOK ROAD","","US",CT,06026-0000,"HARTFORD","EAST GRANBY"
LCT04221,30-Nov-2010,24-Apr-2003,CT3396,5100.000000,4376.000000,0,25,107206.030000,LESSOR,"12 CDT LLC","","44 BALDWIN ST.","","US",CT,06607-0000,"FAIRFIELD","BRIDGEPORT"
LCT04225,16-Jan-2013,17-Jan-2003,CT3398,6065.000000,6065.000000,0,25,142075.970000,LESSOR,"ALEXANDER TYLER CORP","","C/O LYMAN","716 BEAUMONT HIGHWAY","US",CT,06249-0000,"NEW LONDON","LEBANON"
LCT04625,30-Jun-2013,01-Jul-2008,CT3399,3965.000000,3965.000000,0,0,165499.100000,LESSOR,"CONNECTICUT DOT","BRADLEY INTERNATIONAL AIRPORT","BUREAU OF AVIATION & AIRPORTS","2800 BERLIN PIKE","US",CT,06131-7546,"HARTFORD","NEWINGTON"
LCT04238,31-Mar-2011,01-Apr-2003,CT3400,1303.000000,1137.000000,0,3,35353.210000,LESSOR,"5 COVE,LLC,A CONNECTICUT LLC.","U.S. PROPERTIES,INC.","5 SHAW'S COVE","SUITE 200","US",CT,06320-4974,"NEW LONDON","NEW LONDON"
LCT04524,15-Jan-2029,16-Jan-2009,CT3402,46369.000000,44000.000000,0,164,1341944.040000,LESSOR,"CJ FORT TRUMBULL OFFICE LLC","C/O CORCORAN JENNISON COMPANY","150 MOUNT VERNON STREET","SUITE 500","US",MA,02125-0000,"SUFFOLK","BOSTON"
LCT04315,02-May-2014,03-May-2004,CT3403,25578.000000,22050.000000,10,0,519315.240000,LESSOR,"HDR OFFICE HOLDINGS SPE LLC","HDR OPERATING COMPANY LLC","960 MAIN STREET","","US",CT,06103-1224,"HARTFORD","HARTFORD"
LCT04392,28-Mar-2015,29-Mar-2005,CT3408,10000.000000,8621.000000,0,40,241324.120000,LESSOR,"ARMSTRONG PARK ASSOCIATES","FUSCO MANAGEMENT CO.,LLC","555 LONG WHARF DRIVE,SUITE 14","","US",CT,06511-0000,"NEW HAVEN","NEW HAVEN"
LCT04636,30-Jun-2014,01-Jul-2009,CT3409,459.000000,459.000000,0,0,11233.120000,LESSOR,"TWEED NEW HAVEN AIRPORT AUTHORITY","","155 BURR STREET","","US",CT,06512-3907,"NEW HAVEN","NEW HAVEN"
LCT04477,25-Feb-2017,26-Feb-2007,CT3410,1004.000000,1004.000000,0,3,18278.200000,LESSOR,"STEPHEN D. WILLIAMS GEN CONST COMP","STEPHEN D. WILLIAMS","36 BUFF CAP ROAD","","US",CT,06084-0000,"TOLLAND","TOLLAND"
LCT04486,14-Jun-2019,15-Jun-2009,CT3412,5992.000000,5303.000000,17,0,180455.190000,LESSOR,"THE CONNECTICUT EDUCATION ASC. INC","","21 OAK STREET","","US",CT,06106-8003,"HARTFORD","HARTFORD"
LCT04561,28-Jan-2019,29-Jan-2009,CT3413,28934.000000,27394.000000,0,15,772349.840000,LESSOR,"ELM CITY MFG JEWELERS INC","","58 SKIFF ST","","US",CT,06517-1017,"NEW HAVEN","HAMDEN"
LCT04474,26-Jul-2019,27-Jul-2009,CT3414,7276.000000,6266.000000,6,0,306176.540000,LESSOR,"UNION PLAZA ASSOCIATES II,LLP","","2 UNION PLAZA","P.O. BOX 1591","US",CT,06320-6313,"NEW LONDON","NEW LONDON"
LCT04596,31-Oct-2020,01-Nov-2010,CT3416,14318.000000,13705.000000,32,0,457195.000000,LESSOR,"WE 716 BROOK STREET LLC","C/O WINSTANLEY ENTERPRISES LLC","150 BAKER AVE EXT","","US",MA,01742-2199,"MIDDLESEX","CONCORD"
LCT04622,30-Sep-2019,01-Oct-2009,CT3418,11710.000000,11162.000000,28,0,386822.210000,LESSOR,"45-55 CHURCH STREET,LLC","","370 STATE STREET","","US",CT,06473-3114,"NEW HAVEN","NORTH HAVEN"
LCT04517,12-Jun-2018,13-Jun-2008,CT3420,8324.000000,8177.000000,24,0,179437.630000,LESSOR,"ACMAT CORPORATION","","233 MAIN STREET","","US",CT,06051-4204,"HARTFORD","NEW BRITAIN"
LCT04469,06-Jan-2019,07-Jan-2009,CT3425,6812.000000,6314.000000,0,1,267021.060000,LESSOR,"SHAFA BUILDING LLC","","219 KENT LANE","","US",CT,06074-0000,"HARTFORD","SOUTH WINDSOR"
LCT04686,14-Mar-2012,15-Mar-2009,CT3428,590.000000,492.000000,0,0,33936.000000,LESSOR,"SHORELINE LIFE CARE LLC","DBA EVERGREEN WOODS","88 NOTCH HILL ROAD","","US",CT,06471-1846,"NEW HAVEN","NORTH BRANFORD"
LCT04552,28-Jul-2020,29-Jul-2010,CT3429,4581.000000,4048.000000,0,19,178659.000000,LESSOR,"ANSONIA SHOPPING CENTER LLC","","501 MADISON AVENUE,","6TH FLOOR","US",NY,10022-5602,"NEW YORK","NEW YORK-MANHATTAN"
LCT04774,30-Nov-2010,01-Jun-2010,CT3436,0.000000,0.000000,0,60,98460.000000,LESSOR,"LAZ PARKING LTD,LLC","","15 LEWIS STREET","","US",CT,06103-2500,"HARTFORD","HARTFORD"
LMA04729,30-Sep-2014,01-Oct-2009,MA0049,336.000000,336.000000,0,0,7234.080000,LESSOR,"UNITED STATES POSTAL SERVICE","GABRIEL BENVENUTO,REALTY ASSET PRG","2825 LONE OAK PKWY","","US",MN,55121-1551,"RAMSEY","ST PAUL"
LMA04597,31-Aug-2013,01-Sep-2008,MA5386,3329.000000,2894.000000,0,0,60528.750000,LESSOR,"BOSTON MARKET TERMINAL COMPANY","","34 MARKET STREET","","US",MA,02149-5806,"MIDDLESEX","EVERETT"
LMA04308,28-Feb-2014,01-Mar-2004,MA5431,10430.000000,9857.000000,0,30,246659.320000,LESSOR,"LYNN PORTFOLIO,LLC","C/O HARVEST PROPERTIES,LLC","441 MAIN STREET,SUITE 206","","US",MA,02176-3859,"MIDDLESEX","MELROSE"
LMA04050,01-Feb-2011,01-Sep-1998,MA5466,114448.000000,94762.000000,0,540,3038323.000000,LESSOR,"EOP NEW ENGLAND EXECUTIVE PARK LLC","A DELAWARE LIMITED LIABILITY CO","TWO NORTH RIVERSIDE PLAZA","SUITE 2200","US",IL,60606-2601,"COOK","CHICAGO"
LMA04518,17-Jun-2018,18-Jun-2008,MA5490,9097.000000,7910.000000,0,1,239542.340000,LESSOR,"JAMES KELLY","","278 BOWKER STREET","","US",MA,02061-1241,"PLYMOUTH","NORWELL"
LMA04433,30-Sep-2014,01-Oct-2005,MA5604,155250.000000,134900.000000,0,411,1836135.000000,LESSOR,"MATSES AND CAMPBELL","","200 SUTTON STREET","","US",MA,01845-1656,"ESSEX","NORTH ANDOVER"
LMA03824,15-Jul-2011,16-Apr-1993,MA5609,4933.000000,4290.000000,0,3,137955.400000,LESSOR,"FIRST EASTERN REALTY PARTNERS,LLC","","50 PROSPECT STREET","","US",MA,02453-8500,"MIDDLESEX","WALTHAM"
LMA04234,31-Jan-2013,01-Feb-2003,MA5611,3122.000000,2576.000000,6,0,123708.280000,LESSOR,"COMMONWEALTH PIER TRUST II","BOSCOM PARTNERS D/B/A WTC BOSTON","JOHN E. DREW,PRESIDENT","200 SEAPORT BOULEVARD","US",MA,02210-2031,"SUFFOLK","BOSTON"
LMA04663,31-Mar-2020,01-Apr-2010,MA5612,3995.000000,3474.000000,0,29,80761.900000,LESSOR,"DONALD LAVERDIERE","D/B/A AMHERST OFFICE PARK","463 WEST STREET","","US",MA,01002-2946,"HAMPSHIRE","AMHERST"
LMA03884,31-Aug-2012,01-Sep-1993,MA5614,2688.000000,2337.000000,0,0,29516.430000,LESSOR,"MOUNTAIN CLIMBER LLC.","","117 WEST 72ND STREET","SUITE SW","US",NY,10023-3204,"NEW YORK","NEW YORK-MANHATTAN"
LMA04120,29-Feb-2020,01-Mar-2000,MA5632,33398.000000,28374.000000,37,84,846837.300000,LESSOR,"GPT REALTY TRUST","C/O GPT PROPERTIES TRUST","400 CENTRE STREET","","US",MA,02458-2094,"MIDDLESEX","NEWTON"
LMA04521,22-Jun-2019,23-Jun-2009,MA5632,44210.000000,37786.000000,0,121,1022676.180000,LESSOR,"GPT REALTY TRUST","C/O GPT PROPERTIES TRUST","400 CENTRE STREET","","US",MA,02458-2094,"MIDDLESEX","NEWTON"
LMA03908,05-Sep-2011,06-Sep-1994,MA5633,8122.000000,7063.000000,0,4,219294.000000,LESSOR,"100 CONCORD STREET REALTY TRUST","VAIOS THEODORAKOS,TRUSTEE","P.O BOX 2881","100 CONCORD PLACE","US",MA,01702-8328,"MIDDLESEX","FRAMINGHAM"
LMA04297,31-Aug-2014,01-Sep-2004,MA5645,18790.000000,16339.000000,0,10,206010.280000,LESSOR,"GREENGATE APARTMENTS,INC.","WILLIAM J. MULLEN,PRESIDENT","2 PONDS ROAD","","US",MA,02540-2638,"BARNSTABLE","FALMOUTH"
LMA03905,31-Aug-2011,14-Aug-1994,MA5646,943.000000,820.000000,0,0,14400.000000,LESSOR,"HYANNIS OFFICE CENTER L.P.","AARON BORNSTEIN,HOLLY MGT & SUPPLY",".","297 NORTH STREET","US",MA,02601-0000,"BARNSTABLE","HYANNIS"
LMA04744,30-Nov-2019,01-Dec-2009,MA5649,5171.000000,4358.000000,0,6,118090.170000,LESSOR,"639 GRANITE LLC","C/O THE SIMON COMPANIES","639 GRANITE STREET","","US",MA,02184-2696,"NORFOLK","BRAINTREE"
LMA04762,30-Sep-2015,01-Oct-2010,MA5650,7453.000000,6481.000000,0,0,175053.630000,LESSOR,"BROOKS PROPERTIES I,LLC","","9 RED ROOF LANE","","US",NH,03079-2929,"ROCKINGHAM","SALEM"
LMA04310,31-Jan-2012,01-Jan-2004,MA5654,0.000000,0.000000,288,0,1555200.000000,LESSOR,"BULFINCH CONGRESS HOLDINGS LLC","C/O THE HYM INVESTMENT GROUP,LLC","ONE CONGRESS STREET,10TH FLOOR","","US",MA,02114-2010,"SUFFOLK","BOSTON"
LMA03687,03-Jun-2011,04-Jun-1990,MA5655,1639.000000,1463.000000,0,0,34303.440000,LESSOR,"WASHINGTON STREET TRUST","STANLEY MICKELSON,TRUSTEE","17 NORTHFIELD LANE","","US",MA,02747-3552,"BRISTOL","NORTH DARTMOUTH"
LMA03989,31-Oct-2010,01-Nov-1996,MA5662,2230.000000,1949.000000,0,8,63714.580000,LESSOR,"STAFFORD REALTY,LLC","RICHARD STAFFORD","129 LELAND STREET SE","","US",FL,33952-9128,"CHARLOTTE","PORT CHARLOTTE"
LMA04207,31-Mar-2012,01-Apr-2002,MA5663,6100.000000,5495.000000,1,0,314218.450000,LESSOR,"BRICKMAN ONE BOWDOIN LLC","BRAD BEEBE","712 FIFTH AVENUE","","US",NY,10019-9999,"NEW YORK","NEW YORK-MANHATTAN"
LMA04213,01-Dec-2012,02-Dec-2002,MA5663,31501.000000,28379.000000,0,0,1692688.220000,LESSOR,"BRICKMAN ONE BOWDOIN LLC","BRAD BEEBE","712 FIFTH AVENUE","","US",NY,10019-0000,"NEW YORK","NEW YORK-MANHATTAN"
LMA04194,31-Jan-2012,01-Feb-2002,MA5665,3701.000000,3400.000000,0,0,75283.230000,LESSOR,"ONE ARCH PLACE INC.","EDGAR W. MARTIN,PRESIDENT","P.O. BOX 42","","US",MA,01302-0042,"FRANKLIN","GREENFIELD"
LMA04072,30-Nov-2010,01-Dec-2000,MA5671,10628.000000,9242.000000,0,42,411327.610000,LESSOR,"FAIRFIELD CENTER,LLC","FRED FAIRFIELD,MANAGER","P.O. BOX 255729","","US",MA,02125-0000,"SUFFOLK","BOSTON"
LMA04666,30-Jun-2015,01-Jul-2010,MA5672,1610.000000,1248.000000,0,0,45224.900000,LESSOR,"NEW MARKET PLACE,LTD. PARTNERSHIP","","297 NORTH STREET","","US",MA,02601-1869,"BARNSTABLE","HYANNIS"
LMA04184,09-May-2012,10-May-2002,MA5673,5290.000000,4600.000000,13,30,192227.280000,LESSOR,"KIDDS HILL ROAD LLC","SCANLAN COMPANY,INC","15 RESEARCH ROAD","","US",MA,02536-4440,"BARNSTABLE","FALMOUTH"
LMA04189,16-Feb-2014,17-Feb-2004,MA5675,14850.000000,13202.000000,26,0,294103.040000,LESSOR,"MELVILLE ASSOCIATES","PEABODY ASSOCIATES","536 GRANITE STREET","","US",MA,02184-0000,"NORFOLK","BRAINTREE"
LMA04174,31-May-2011,01-Jun-2001,MA5676,6000.000000,6000.000000,0,25,215466.610000,LESSOR,"259 NORTH LIMITED PARTNERSHIP","","297 NORTH STREET","","US",MA,02601-0000,"BARNSTABLE","HYANNIS"
LMA04623,30-Jun-2013,01-Jul-2008,MA5678,1055.000000,742.000000,0,0,15600.000000,LESSOR,"SPRINGFIELD TECH COMCOL ASSIST CORP","","ONE FEDERAL STREET","","US",MA,01105-0000,"HAMPDEN","SPRINGFIELD"
LMA04193,25-Feb-2012,26-Feb-2002,MA5679,56212.000000,45000.000000,3,350,1897563.530000,LESSOR,"CROSS POINT LIMITED PARTNERSHIP","","900 CHELMSFORD ST","","US",MA,01815-0000,"MIDDLESEX","LOWELL"
LMA04218,21-Aug-2012,22-Aug-2002,MA5680,2675.000000,2174.000000,8,0,82610.570000,LESSOR,"92 MONTVALE AVENUE LLC","DOUGLAS STEPHENS,EXECUTIVE VP","200 WEST CUMMINGS PARK","","US",MA,01801-6396,"MIDDLESEX","WOBURN"
LMA04279,01-Dec-2013,02-Dec-2003,MA5681,5338.000000,4602.000000,5,0,111630.120000,LESSOR,"SOVEREIGN BANK","","1130 BERKSHIRE BLVD","","US",PA,19610-1242,"BERKS","WYOMISSING"
LMA04289,31-Dec-2012,01-Jan-2003,MA5681,12311.000000,10613.000000,25,0,361579.700000,LESSOR,"SOVEREIGN BANK","","1130 BERKSHIRE BLVD","","US",PA,19610-1242,"BERKS","WYOMISSING"
LMA04226,04-Dec-2012,05-Dec-2002,MA5682,8102.000000,6841.000000,0,39,110295.740000,LESSOR,"AMB FUND III BOSTON LLC","C/O AMB INTERNATIONAL AIRPORT","CENTERS LLC","88 BLACK FALCON AVENUE SUITE 146","US",MA,02210-0000,"SUFFOLK","BOSTON"
