"Communities Participating in the National Flood Program",,,,,,,
"180205#","DUNE ACRES, TOWN OF","PORTER COUNTY","12/28/73",="04/24/81",="04/24/81(M)",="04/24/81","No"
"180106","DUPONT, TOWN OF","JEFFERSON COUNTY","11/29/74","11/01/95","11/01/95(L)","11/01/95","No"
"180129#","DYER, TOWN OF","LAKE COUNTY",="01/25/74",="05/15/84",="01/18/12",="05/15/84","No"
"180130#","EAST CHICAGO, CITY OF","LAKE COUNTY",="04/12/74",="06/04/80",="01/18/12",="06/04/80","No"
"180052#","EATON, TOWN OF","DELAWARE COUNTY","11/23/73",="06/15/79",="07/04/11",="06/15/79","No"
"180113#","EDINBURGH, TOWN OF","SHELBY COUNTY/BARTHOLOMEW COUNTY/JOHNSON COUNTY",="02/01/74",="09/16/81",="08/02/07",="09/16/81","No"
"180324#","EDWARDSPORT, TOWN OF","KNOX COUNTY","11/23/73",="05/04/89",="05/04/89",="05/04/89","No"
"180275#","ELBERFELD, TOWN OF","WARRICK COUNTY","10/18/74",="08/02/12","(NSFHA)",="08/20/12","No"
"180056#","ELKHART COUNTY *","ELKHART COUNTY",,"11/01/79",="08/02/11","11/01/79","No"
"180057#","ELKHART, CITY OF","ELKHART COUNTY",="06/28/74",="08/01/79",="08/02/11",="08/01/79","No"
"180170#","ELLETTSVILLE, TOWN OF","MONROE COUNTY",="06/14/74",="07/18/85","12/17/10",="07/18/85","No"
"180036#","ELNORA, TOWN OF","DAVIESS COUNTY","12/07/73","11/02/79",="08/19/86(M)",="08/19/86","No"
"180152#","ELWOOD, CITY OF","TIPTON COUNTY/MADISON COUNTY","12/28/73",="05/19/81",="05/03/11",="05/19/81","No"
"180032#","ENGLISH, TOWN OF","CRAWFORD COUNTY",="04/12/74",="01/03/86",="01/03/86",="01/03/86","No"
"180257#","EVANSVILLE, CITY OF","VANDERBURGH COUNTY",="06/14/74","10/15/81",="03/17/11","10/15/81","No"
"180074#","FAIRMOUNT, TOWN OF","GRANT COUNTY",="05/24/74",="07/03/85",="05/15/02",="07/03/85","No"
"180390#","FARMLAND, TOWN OF","RANDOLPH COUNTY",="02/21/75",="07/03/85",="03/04/13(M)",="07/03/85","No"
"180417#","FAYETTE COUNTY *","FAYETTE COUNTY","12/30/77",="09/01/88",="09/01/88(L)",="09/01/88","No"
"180484#","FERDINAND, TOWN OF","DUBOIS COUNTY",,="03/22/82",="08/05/85",="03/22/82","No"
"180423#","FISHERS, TOWN OF","HAMILTON COUNTY",="06/30/76",="02/19/87",="02/19/03",="06/30/76","No"
"180021","FLORA, TOWN OF","CARROLL COUNTY",="05/24/74","11/01/95","11/01/95(L)","11/01/95","No"
"180432#","FLOYD COUNTY *","FLOYD COUNTY",="01/27/78",="01/02/81",="04/16/14",="01/02/81","No"
"180003#","FORT WAYNE, CITY OF","ALLEN COUNTY",="02/15/74",="04/03/85",="08/03/09",="04/03/85","No"
"180372#","FORTVILLE, TOWN OF","HANCOCK COUNTY",="07/11/75","12/04/07",="03/17/14",="05/13/09","No"
"180282#","FOUNTAIN CITY, TOWN OF","WAYNE COUNTY",="05/10/74","11/04/81","11/04/81","11/04/81","No"
"180064#","FOUNTAIN COUNTY*","FOUNTAIN COUNTY","11/04/77","11/01/01",="02/06/13(M)","11/01/01","No"
"180008#","FOWLER, TOWN OF","BENTON COUNTY",="04/12/74","10/02/12","(NSFHA)",="01/03/85","No"
"180030#","FRANKFORT, CITY OF","CLINTON COUNTY",="05/10/74",="06/11/76","12/02/11",="06/11/76","No"
"180068#","FRANKLIN COUNTY *","FRANKLIN COUNTY","12/13/74",="09/01/88",="01/16/14",="09/01/88","No"
"180114#","FRANKLIN, CITY OF","JOHNSON COUNTY","12/21/73",="04/01/81",="08/02/07",="04/01/81","No"
"180154#","FRANKTON, TOWN OF","MADISON COUNTY","12/14/73",="05/05/81",="05/03/11",="05/05/81","No"
"180277","FREDERICKSBURG,TOWN OF","WASHINGTON COUNTY","12/14/73",="09/04/85",="09/04/85(M)",="09/04/85","No"
"180187A","FRENCH LICK, TOWN OF","ORANGE COUNTY",="01/25/74",="06/01/02",="05/19/14(L)",="06/01/02","No"
"180070#","FULTON COUNTY *","FULTON COUNTY","12/20/74",="07/03/85",="08/16/12(M)",="07/03/85","No"
"180356#","GALVESTON, TOWN OF","CASS COUNTY",="02/21/75",,"(NSFHA)","11/08/78","No"
"180048#","GARRETT, CITY OF","DEKALB COUNTY",="05/10/74",="02/11/76","(NSFHA)",="02/11/76","No"
"180132#","GARY, CITY OF","LAKE COUNTY",="06/28/74",="03/16/81",="01/18/12",="03/16/81","No"
"180075#","GAS CITY, CITY OF","GRANT COUNTY",="07/19/74",="07/05/83",="05/15/02",="07/05/83","No"
"180002#","GENEVA, TOWN OF","ADAMS COUNTY","11/23/73","11/01/84",="09/29/10","11/01/84","No"
"180394","GENTRYVILLE, TOWN OF","SPENCER COUNTY",="07/11/75",="09/16/88",="09/16/88(M)",="09/16/88","No"
"180063#","GEORGETOWN, TOWN OF","FLOYD COUNTY","12/28/73",="03/28/80","12/04/12",="03/28/80","No"
"180434#","GIBSON COUNTY *","GIBSON COUNTY",="04/28/78",,="04/28/78","12/05/02(E)","No"
"180181","GOODLAND, TOWN OF","NEWTON COUNTY",="05/31/74",,"(NSFHA)",="08/19/86","No"
"180058#","GOSHEN, CITY OF","ELKHART COUNTY","11/23/73",="08/01/79",="08/02/11",="08/01/79","No"
"180499#","GRABILL, TOWN OF","ALLEN COUNTY",="02/27/76",="09/28/90",="08/03/09","10/17/90","No"
"180238#","GRANDVIEW, TOWN OF","SPENCER COUNTY",="01/18/74",="07/18/83",="07/18/83",="07/18/83","No"
"180435#","GRANT COUNTY*","GRANT COUNTY",="05/19/78",="06/17/86",="05/15/02",="06/17/86","No"
"180216#","GREENCASTLE, CITY OF","PUTNAM COUNTY",="05/17/74",="06/05/12","(NSFHA)","11/15/85","No"
"180040#","GREENDALE, CITY OF","DEARBORN COUNTY",="01/16/74",="09/16/82",="04/16/14",="09/16/82","No"
"180436#","GREENE COUNTY *","GREENE COUNTY",="07/21/78",,="07/21/78",="01/31/03(E)","No"
"180084#","GREENFIELD, CITY OF","HANCOCK COUNTY","11/23/73","11/04/81","12/04/07","11/04/81","No"
"180283#","GREENS FORK, TOWN OF","WAYNE COUNTY",="09/20/74","11/04/81","11/04/81","11/04/81","No"
"180043#","GREENSBURG, CITY OF","DECATUR COUNTY",="04/12/74",="09/30/83","10/16/13",="09/30/83","No"
"180513","GREENTOWN, TOWN OF","HOWARD COUNTY",,," ",="09/14/95(E)","No"
"180115#","GREENWOOD, CITY OF","JOHNSON COUNTY",="01/09/74",="05/17/82",="08/02/07",="05/17/82","No"
"180305","GRIFFIN, TOWN OF","POSEY COUNTY","12/18/73",="02/11/76","(NSFHA)",="02/11/76","No"
"185175#","GRIFFITH, TOWN OF","LAKE COUNTY",,="05/30/75",="01/18/12",="04/14/72","No"
"180284#","HAGERSTOWN, TOWN OF","WAYNE COUNTY",="04/12/75","10/15/81","10/15/81","10/15/81","No"
"180080#","HAMILTON COUNTY*","HAMILTON COUNTY","12/13/74",="08/15/83",="02/19/03","12/16/88","No"
"180248#","HAMILTON, TOWN OF","STEUBEN COUNTY",="09/06/74",="08/19/86","12/17/13",="08/19/86","No"
"180241A","HAMLET, TOWN OF","STARKE COUNTY",="06/21/74",="09/01/86",="09/01/86(L)",="09/01/86","No"
"180134#","HAMMOND, CITY OF","LAKE COUNTY",="03/15/74",="03/16/81",="01/18/12",="03/16/81","No"
"180419#","HANCOCK COUNTY *","HANCOCK COUNTY",="07/01/77","10/15/82",="03/17/14","10/15/82","No"
"180326","HANOVER, TOWN OF","JEFFERSON COUNTY",="02/01/74",,"(NSFHA)",="09/30/76","No"
"180085#","HARRISON COUNTY *","HARRISON COUNTY","12/13/74","11/01/95","11/01/95(L)","11/01/95","No"
"180009#","HARTFORD CITY, CITY OF","BLACKFORD COUNTY","11/23/73","12/01/82","12/01/82","12/01/82","No"
"180387#","HEBRON, TOWN OF","PORTER COUNTY",="03/21/75","10/09/81","10/09/81(M)","10/09/81","No"
"180415#","HENDRICKS COUNTY *","HENDRICKS COUNTY",="08/26/77",="03/16/81",="09/25/09",="03/16/81","No"
"180437#","HENRY COUNTY*","HENRY COUNTY",="01/27/78",="09/04/87",="09/04/87","10/26/92","No"
"185176#","HIGHLAND, TOWN OF","LAKE COUNTY",="05/19/72",="05/19/72",="01/18/12",="05/19/72","No"
"180328#","HILLSBORO, TOWN OF","FOUNTAIN COUNTY",="01/25/74",="02/06/13",="02/06/13(M)",="06/08/84","No"
"180136#","HOBART, CITY OF","LAKE COUNTY",="04/12/74","12/04/79",="01/18/12","12/04/79","No"
"180607#","HOPE, TOWN OF","BARTHOLOMEW COUNTY",,="03/15/82",="03/15/82","12/11/12","No"
,"Revised corporate limits for the Town of Hope include areas of Zone C on Bartholomew County (Unincorporated Areas) FIRM panel 1800060050B dated 03/15/1982.",,,,,,
"180414#","HOWARD COUNTY *","HOWARD COUNTY",="07/29/77",="07/16/81",="07/16/81",="07/16/81","No"
"180249#","HUDSON, TOWN OF","STEUBEN COUNTY",="07/19/74","12/17/13","12/17/13(M)","11/15/85","No"
"180005#","HUNTERTOWN, TOWN OF","ALLEN COUNTY",="05/31/74","11/02/83",="08/03/09","11/02/83","No"
"180362#","HUNTINGBURG, CITY OF","DUBOIS COUNTY",="03/28/75",="09/16/88","10/06/98",="09/16/88","No"
"180438#","HUNTINGTON COUNTY *","HUNTINGTON COUNTY",="03/03/78",="07/18/83",="07/18/83",="07/18/83","No"
"180094#","HUNTINGTON, CITY OF","HUNTINGTON COUNTY",="06/07/74",="07/18/83",="07/18/83",="07/18/83","No"
"180225#","INDIAN VILLAGE, TOWN OF","ST. JOSEPH COUNTY","10/18/74",="04/15/81",="01/06/11",="06/11/81","No"
"180159#","INDIANAPOLIS, CITY OF","MARION COUNTY",="05/17/74",="05/15/84",="07/05/05",="05/15/84","No"
,"THE CITY ALSO CONDUCTS FLOODPLAIN MANAGEMENT FOR THE CITIES OF BEECH GROVE, LAWRENCE, SOUTHPORT AND THE TOWN OF SPEEDWAY",,,,,,
"180155#","INGALLS, TOWN OF","MADISON COUNTY","10/10/75",="05/03/11",="05/03/11",="07/15/88","No"
"180405#","JACKSON COUNTY *","JACKSON COUNTY",="03/17/78",="01/05/84",="01/05/84",="01/05/84","No"
"180439#","JASPER COUNTY *","JASPER COUNTY",="05/12/78",="07/01/94",="07/01/94(L)",="07/01/94","No"
"180055#","JASPER, CITY OF","DUBOIS COUNTY","10/26/73",="06/01/82","10/18/94",="06/01/82","No"
"180440#","JAY COUNTY*","JAY COUNTY",="01/06/78",="03/17/14",="03/17/14",="03/17/14","No"
"180104#","JEFFERSON COUNTY *","JEFFERSON COUNTY",="01/03/75","10/01/92","10/01/92(L)","10/01/92","No"
"180027#","JEFFERSONVILLE, CITY OF","CLARK COUNTY",="06/14/74",="08/01/79",="04/16/14",="08/01/79","No"
"180108#","JENNINGS COUNTY *","JENNINGS COUNTY","12/13/74","11/01/95","11/01/95(L)","11/01/95","No"
"180111#","JOHNSON COUNTY *","JOHNSON COUNTY","10/18/74",="03/02/89",="08/02/07",="03/02/89","No"
"180076#","JONESBORO, CITY OF","GRANT COUNTY","12/07/73",="08/01/83",="05/15/02",="08/01/83","No"
"180354","JONESVILLE, TOWN OF","BARTHOLOMEW COUNTY",,,"(NSFHA)",="05/25/78","No"
"180185#","KENDALLVILLE, CITY OF","NOBLE COUNTY",="06/14/74",="01/06/83",="01/06/83",="01/06/83","No"
"180182","KENTLAND, TOWN OF","NEWTON COUNTY",="05/24/74",="09/18/85",="09/18/85(M)",="09/18/85","No"
"180422#","KNOX COUNTY *","KNOX COUNTY",="03/10/78",="02/15/85",="02/15/85",="02/15/85","No"
"180242A","KNOX, CITY OF","STARKE COUNTY","11/30/73",="02/01/94",="02/01/94(L)",="02/01/94","No"
"180093#","KOKOMO, CITY OF","HOWARD COUNTY","12/17/73",="08/03/81",="08/03/81",="08/03/81","No"
"180121#","KOSCIUSKO COUNTY*","KOSCIUSKO COUNTY","12/27/74","12/27/74",="02/04/87",="02/04/87","No"
"180267#","LA FONTAINE, TOWN OF","WABASH COUNTY",="04/12/74",="04/17/87",="09/18/13",="04/17/87","No"
"180144#","LA PORTE COUNTY*","LAPORTE COUNTY","12/20/74",="01/01/87","11/06/13",="01/01/87","No"
"180490#","LA PORTE, CITY OF","LAPORTE COUNTY","11/01/84",="04/01/93","11/06/13",="04/01/93","No"
"180253#","LAFAYETTE, CITY OF","TIPPECANOE COUNTY","12/07/73","11/19/80",="03/15/12","11/19/80","No"
"180125#","LAGRANGE COUNTY*","LAGRANGE COUNTY",="07/01/77",="02/01/94","11/20/13",="02/01/94","No"
"180268#","LAGRO,TOWN OF","WABASH COUNTY",="05/24/74",="06/18/87",="09/18/13",="06/18/87","No"
"180126#","LAKE COUNTY *","LAKE COUNTY","12/06/74",="09/02/81",="01/18/12",="09/02/81","No"
"180131#","LAKE STATION, CITY OF","LAKE COUNTY",="06/21/74",="09/05/79",="01/18/12",="09/05/79","No"
"180226#","LAKEVILLE, TOWN OF","ST. JOSEPH COUNTY","11/23/73",="09/30/76",="01/06/11",="09/30/76","No"
"180420","LANESVILLE, TOWN OF","HARRISON COUNTY",="08/05/77",="01/04/85",="01/04/85(M)",="01/04/85","No"
"180455#","LAPEL, TOWN OF","MADISON COUNTY",,="05/03/11",="05/03/11(M)",="07/20/11","No"
"180306#","LAUREL, TOWN OF","FRANKLIN COUNTY",="01/18/74",="09/01/88",="01/16/14",="09/01/88","No"
"180441#","LAWRENCE COUNTY *","LAWRENCE COUNTY",="09/29/78",="06/01/94","12/03/10",="06/01/94","No"
"180160#","LAWRENCE, CITY OF","MARION COUNTY",="05/17/74",="05/15/84",="01/05/01",="05/15/84","No"
,"THE CITIES OF BEECH GROVE, LAWRENCE, SOUTHPORT AND THE TOWN OF SPEEDWAY PARTICIPATE AS A PART OF THE UNIFIED GOVERNMENT OF THE CITY OF INDIANAPOLIS [180159] MARION COUNTY.  USE THE CITY OF INDIANAPOLIS, CID 180159 FOR THESE COMMUNITIES.",,,,,,
"180041#","LAWRENCEBURG, CITY OF","DEARBORN COUNTY",="01/04/74",="09/16/82",="04/16/14",="09/16/82","No"
"180035#","LEAVENWORTH, TOWN OF","CRAWFORD COUNTY","11/30/73",="08/01/83",="08/01/83",="08/01/83","No"
"180013#","LEBANON, CITY OF","BOONE COUNTY",="01/16/76",="05/03/82",="01/18/12",="05/03/82","No"
"180518#","LEO-CEDARVILLE, TOWN OF","ALLEN COUNTY",="02/27/76",="09/28/90",="08/03/09",="02/09/00","No"
"180091#","LEWISVILLE, TOWN OF","HENRY COUNTY",="09/20/74",="09/04/87",="09/04/87",="09/04/87","No"
